abaca,,z
aback,,
abaft,,
abamp,,z
abase,,
abash,,
abate,,
abbas,,z
abbey,,
abbot,,
abeam,,
abets,,
abhor,,
abide,,
abler,,
abode,,
abohm,,z
aboil,,z
abort,,
about,,
above,,
abrin,,x
abuse,,
abuts,,
abuzz,,
abysm,,
abyss,,
accad,,x
acerb,,x
ached,,
aches,,
acids,,
acing,,
ackee,,xx
acned,,
acock,,x
acold,,x
acorn,,
acres,,
acrid,,
acted,,
actin,,
actor,,
acute,,
adage,,
adana,,x
adapt,,
addax,,x
added,,
adder,,
addle,,
adept,,
adieu,,
adios,,
adman,,
admit,,
admix,,x
adobe,,
adopt,,
adore,,
adorn,,
adowa,,x
adoze,,x
adult,,
adust,,x
aduwa,,x
aegis,,
aeons,,
aerie,,
afars,,
affix,,
afire,,
afoot,,
afore,,
afoul,,
afrit,,x
after,,
again,,
agape,,
agate,,
agave,,x
agaze,,x
agene,,x
agent,,
agers,,x
aggie,,x
aggro,,x
agile,,
aging,,
agios,,x
agist,,x
aglet,,x
agley,,x
aglow,,
agnus,,x
agone,,x
agony,,
agora,,
agram,,x
agree,,
ahead,,
ahold,,
ahura,,x
aided,,
aider,,x
aides,,
ailed,,
aimed,,
aimer,,
aired,,
airer,,
aisha,,x
aisle,,
aisne,,x
aitch,,x
ajmer,,x
akbar,,x
akela,,x
akene,,x
aksum,,x
akure,,x
alack,,x
alarm,,
alary,,x
alate,,
album,,
alcan,,x
aldan,,x
alder,,
aldis,,x
aldol,,x
aleph,,x
alert,,
algae,,
algal,,x
algid,,x
algin,,x
algor,,x
alias,,
alibi,,
alien,,
align,,
alike,,
aline,,x
alive,,
alkyd,,x
alkyl,,x
allan,,x
allay,,
alley,,x
alloa,,
allot,,
allow,,
alloy,,
allyl,,
aloes,,x
aloft,,
aloha,,
aloin,,x
alone,,
along,,
aloof,,
alost,,x
aloud,,
alpes,,x
alpha,,
altar,,
alter,,
altho,,
altos,,
alula,,x
alvey,,x
alway,,
amain,,x
amass,,
amaut,,x
amaze,,
amber,,
ambit,,
amble,,
ambry,,x
ameba,,x
ameer,,x
amend,,
ament,,
amice,,x
amide,,
amigo,,
amine,,
amino,,
amiss,,
amity,,
ammon,,x
amnia,,x
among,,
amors,,x
amort,,x
amour,,x
amowt,,x
ample,,
amply,,
ampul,,x
amuck,,
amuse,,
ancon,,x
anded,,x
anear,,x
anele,,x
anent,,x
aneto,,x
angel,,
anger,,
angle,,
angra,,x
angry,,
angst,,
anile,,x
anima,,
anion,,
anise,,
ankle,,
ankus,,x
annal,,x
annex,,
annoy,,
annul,,
annum,,
anode,,
anole,,x
anted,,x
antic,,
antre,,x
anvil,,
anzio,,x
anzus,,x
aorta,,
aosta,,x
apace,,
apart,,
apeak,,x
apery,,
aphid,,
apian,,
aping,,
apish,,
aport,,
appal,,x
appal,,x
appel,,x
apple,,
apply,,
apron,,
apses,,
apsis,,x
aptly,,
apure,,x
aqaba,,x
aquas,,x
aquit,,x
araks,,x
arany,,x
arbil,,x
arbor,,
arced,,
arcus,,x
ardeb,,x
ardor,,
areal,,x
areas,,
arena,,
argal,,x
arger,,xx
argil,,x
argol,,x
argon,,
argos,,x
argot,,
argue,,
arhat,,x
arica,,x
arise,,
arles,,x
arlon,,x
armed,,
armer,,
armes,,x
armet,,x
armor,,
arnim,,x
aroid,,x
aroma,,
arose,,
arran,,x
arras,,x
array,,
arris,,x
